,,,,,,,,,,,,,
,,,,,,,,,,,,,
April 2023,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:29:36,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,1:10:15,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:18:42,,,classic_bike,34756,37203,32520,22691,28541,24733,33390,213834
casual Total,,0:29:50,,,docked_bike,3887,3178,1860,1134,1702,1618,3604,16983
member,classic_bike,0:14:02,,,electric_bike,21382,23656,21723,17132,19928,17306,19305,140432
,electric_bike,0:12:10,,,Grand Total,60025,64037,56103,40957,50171,43657,56299,371249
member Total,,0:13:21,,,,,,,,,,,
Grand Total,,0:20:12,,,,,,,,,,,
,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:34:24,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,2:00:23,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:18:17,,,classic_bike,18754,19356,16077,10776,14310,12553,18386,110212
casual Total,,0:32:09,,,docked_bike,2247,1713,1063,554,862,883,2104,9426
member,classic_bike,0:15:13,,,electric_bike,23069,24424,21367,16876,19719,17455,21061,143971
,electric_bike,0:11:56,,,Grand Total,44070,45493,38507,28206,34891,30891,41551,263609
member Total,,0:13:24,,,,,,,,,,,
Grand Total,,0:22:22,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
April 2022,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:31:08,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,1:33:07,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:16:51,,,classic_bike,20465,20803,25315,18635,23959,21866,35669,166712
casual Total,,0:29:32,,,docked_bike,2204,992,1093,687,1390,1441,4309,12116
member,classic_bike,0:12:31,,,electric_bike,22176,24199,28574,23522,30025,29506,34419,192421
,electric_bike,0:10:31,,,Grand Total,44845,45994,54982,42844,55374,52813,74397,371249
member Total,,0:11:30,,,,,,,,,,,
Grand Total,,0:17:38,,,,,,,,,,,
